Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,51.810001,53.290001,51.610001,52.790001,42.607574,1212500
2019-01-03,52.950001,53.049999,52.320000,52.910000,42.704426,1099600
2019-01-04,53.680000,54.459999,53.560001,54.459999,43.955452,1703200
2019-01-07,53.779999,54.549999,53.549999,54.360001,43.874737,1222400
2019-01-08,54.279999,54.430000,54.009998,54.189999,43.737526,2322000
2019-01-09,54.900002,55.490002,54.869999,55.380001,44.697994,2029500
2019-01-10,54.450001,54.990002,54.410000,54.959999,44.359013,949200
2019-01-11,53.869999,54.130001,53.560001,53.889999,43.495399,2297300
2019-01-14,53.650002,54.380001,53.610001,54.299999,43.826317,1219400
2019-01-15,53.590000,54.029999,53.430000,53.810001,43.430836,2062000
2019-01-16,53.369999,53.910000,53.299999,53.599998,43.261333,1304700
2019-01-17,53.340000,54.000000,53.310001,53.759998,43.390461,1165900
2019-01-18,54.520000,54.680000,54.209999,54.560001,44.036163,1164400
2019-01-22,53.209999,53.630001,53.090000,53.480000,43.164482,1702300
2019-01-23,53.419998,53.459999,52.880001,52.950001,42.736713,1309000
2019-01-24,53.130001,53.650002,53.049999,53.340000,43.051487,798600
2019-01-25,53.970001,54.389999,53.779999,54.209999,43.753670,2060500
2019-01-28,53.389999,53.889999,53.259998,53.590000,43.253265,2181400
2019-01-29,54.049999,54.340000,53.959999,54.070000,43.640682,1938600
2019-01-30,53.720001,54.290001,53.500000,54.169998,43.721390,2250000
2019-01-31,54.939999,55.189999,54.560001,54.730000,44.173370,1259300
2019-02-01,55.099998,55.459999,54.959999,55.310001,44.641499,1233900
2019-02-04,54.910000,55.509998,54.500000,55.509998,44.802925,1066300
2019-02-05,55.560001,56.000000,55.540001,55.889999,45.109623,1182100
2019-02-06,55.549999,55.860001,55.430000,55.619999,44.891701,2025600
2019-02-07,54.919998,55.080002,54.340000,54.560001,44.036163,2068500
2019-02-08,55.009998,55.279999,54.630001,55.160000,44.520435,1400100
2019-02-11,55.000000,55.240002,54.919998,55.150002,44.512356,747500
2019-02-12,55.560001,55.779999,55.259998,55.610001,44.883640,2175900
2019-02-13,55.340000,55.580002,54.880001,54.880001,44.294441,2401100
2019-02-14,55.200001,55.750000,55.150002,55.369999,44.689926,1903500
2019-02-15,55.970001,56.340000,55.919998,56.290001,45.432480,1046800
2019-02-19,55.830002,56.500000,55.799999,56.389999,45.513184,746700
2019-02-20,56.169998,56.689999,56.099998,56.360001,45.488968,1214300
2019-02-21,56.240002,56.389999,56.000000,56.090000,45.271046,1142200
2019-02-22,56.770000,56.990002,56.610001,56.830002,45.868320,1885900
2019-02-25,56.610001,56.720001,56.220001,56.490002,45.593895,1271600
2019-02-26,56.330002,56.990002,56.240002,56.660000,45.731106,1651000
2019-02-27,57.049999,57.099998,56.700001,56.700001,45.763393,1122900
2019-02-28,56.779999,57.130001,56.560001,56.910000,45.932880,1120300
2019-03-01,56.910000,57.290001,56.790001,57.209999,46.175018,1816100
2019-03-04,57.220001,57.549999,56.919998,57.540001,46.441368,2762900
2019-03-05,57.439999,57.849998,57.160000,57.830002,46.675434,3991000
2019-03-06,57.880001,57.889999,57.330002,57.549999,46.449432,3115200
2019-03-07,57.419998,57.470001,56.980000,57.099998,46.086235,1675000
2019-03-08,56.599998,56.830002,56.310001,56.639999,45.714966,3020100
2019-03-11,56.910000,57.130001,56.869999,56.930000,45.949024,1113500
2019-03-12,56.930000,57.279999,56.869999,56.889999,45.916740,1179600
2019-03-13,57.490002,58.470001,57.490002,58.349998,47.095127,1648800
2019-03-14,58.110001,58.500000,58.090000,58.369999,47.111271,1669400
2019-03-15,57.959999,58.020000,57.689999,57.820000,47.248100,1081200
2019-03-18,58.029999,58.709999,58.029999,58.650002,47.926342,888200
2019-03-19,58.759998,58.820000,57.560001,57.689999,47.141861,1925600
2019-03-20,57.709999,58.200001,57.200001,57.919998,47.329807,1336800
2019-03-21,57.709999,57.759998,57.310001,57.500000,46.986603,1172500
2019-03-22,56.549999,56.610001,55.689999,56.009998,45.769035,2822600
2019-03-25,56.020000,56.119999,55.590000,55.709999,45.523895,703800
2019-03-26,56.119999,56.279999,56.009998,56.189999,45.916126,2330000
2019-03-27,55.939999,56.009998,55.430000,55.740002,45.548405,2026100
2019-03-28,55.389999,55.599998,55.259998,55.570000,45.409489,1255700
2019-03-29,55.770000,55.830002,55.320000,55.650002,45.474865,965400
2019-04-01,56.119999,56.320000,55.959999,56.220001,45.940647,1680800
2019-04-02,56.169998,56.209999,55.880001,55.959999,45.728180,1325000
2019-04-03,56.419998,56.529999,55.799999,55.860001,45.646461,1432800
2019-04-04,55.799999,56.130001,55.669998,56.029999,45.785378,615200
2019-04-05,56.360001,56.740002,56.279999,56.730000,46.357395,1122800
2019-04-08,56.770000,57.110001,56.770000,57.060001,46.627060,1320100
2019-04-09,57.090000,57.090000,56.430000,56.439999,46.120415,710000
2019-04-10,56.549999,57.139999,56.480000,56.779999,46.398247,1086300
2019-04-11,56.599998,56.759998,56.139999,56.380001,46.071388,912500
2019-04-12,56.889999,56.919998,56.130001,56.340000,46.038700,1429500
2019-04-15,56.700001,56.709999,56.360001,56.360001,46.055042,1079200
2019-04-16,56.110001,56.110001,55.669998,55.680000,45.499378,1177600
2019-04-17,56.490002,56.840000,56.250000,56.439999,46.120415,1921300
2019-04-18,56.630001,56.770000,56.439999,56.730000,46.357395,1005700
2019-04-22,57.220001,57.990002,57.150002,57.849998,47.272610,1193800
2019-04-23,57.410000,57.660000,57.270000,57.380001,46.888546,1318600
2019-04-24,56.349998,56.349998,55.590000,55.599998,45.433998,2095300
2019-04-25,55.430000,55.980000,55.349998,55.889999,45.670975,1195100
2019-04-26,55.349998,55.349998,54.869999,55.169998,45.082626,2069300
2019-04-29,54.169998,54.779999,54.090000,54.700001,44.698566,2624100
2019-04-30,55.049999,55.680000,54.889999,55.669998,45.491203,1787000
2019-05-01,55.779999,55.779999,54.900002,54.990002,44.935543,819200
2019-05-02,55.590000,55.590000,55.049999,55.090000,45.017250,2083900
2019-05-03,55.320000,55.459999,55.049999,55.180000,45.090801,1056200
2019-05-06,53.500000,54.090000,53.450001,53.990002,44.118378,3380500
2019-05-07,53.110001,53.139999,52.160000,52.470001,42.876305,2419700
2019-05-08,52.470001,52.830002,52.380001,52.520000,42.917152,1314900
2019-05-09,52.389999,52.980000,52.340000,52.790001,43.137791,1244800
2019-05-10,52.560001,53.459999,52.540001,53.259998,43.521847,1332400
2019-05-13,53.009998,53.119999,52.349998,52.529999,42.925331,1744400
2019-05-14,52.939999,53.490002,52.900002,53.000000,43.309391,1045000
2019-05-15,53.060001,53.810001,52.950001,53.450001,43.677113,1112500
2019-05-16,53.759998,54.450001,53.759998,54.279999,44.355350,1405200
2019-05-17,54.630001,55.020000,54.439999,54.810001,44.788456,2569900
2019-05-20,54.849998,55.200001,54.639999,54.889999,44.853825,1799300
2019-05-21,55.220001,55.509998,54.950001,55.060001,44.992744,1430600
2019-05-22,54.660000,54.880001,54.090000,54.130001,44.232780,1208500
2019-05-23,53.160000,53.160000,52.680000,52.990002,43.301224,1060100
2019-05-24,53.340000,53.549999,53.000000,53.419998,43.652596,896000
2019-05-28,53.770000,53.849998,52.900002,52.900002,43.227680,1181200
2019-05-29,51.889999,52.619999,51.759998,52.509998,42.908985,1020700
2019-05-30,52.330002,52.410000,51.820000,52.020000,42.508575,1436200
2019-05-31,51.529999,52.020000,51.439999,51.500000,42.083660,1706600
2019-06-03,52.299999,52.540001,52.020000,52.279999,42.721046,1273100
2019-06-04,52.880001,53.090000,52.599998,52.720001,43.080593,1527900
2019-06-05,53.169998,53.200001,52.230000,52.320000,42.753719,2445300
2019-06-06,53.169998,53.430000,52.939999,53.349998,43.595398,2335200
2019-06-07,53.279999,53.730000,53.189999,53.380001,44.217960,1588900
2019-06-10,53.650002,54.000000,53.509998,53.730000,44.507885,1771800
2019-06-11,54.770000,54.910000,54.369999,54.509998,45.154003,1840300
2019-06-12,53.480000,53.610001,52.709999,52.810001,43.745804,3709100
2019-06-13,53.220001,53.279999,52.759998,52.830002,43.762367,3152800
2019-06-14,52.869999,53.180000,52.740002,53.180000,44.052288,2181700
2019-06-17,52.910000,53.209999,52.560001,52.630001,43.596687,1659800
2019-06-18,53.660000,54.049999,53.580002,53.689999,44.474751,1987000
